hora,hS,hE,hI,hR,vS,vI,mosq_total
0,139749,81,120,50,175322,204,175526
4,139749,81,120,50,237006,220,237226
8,139746,84,120,50,262162,238,262400
12,139745,85,120,50,272238,243,272481
16,139745,85,120,50,276398,243,276641
20,139742,88,120,50,278035,259,278294
24,139737,93,120,50,278691,280,278971
28,139732,98,120,50,278932,293,279225
32,139731,99,120,50,279003,309,279312
36,139731,99,120,50,279032,315,279347
40,139731,99,120,50,279049,315,279364
44,139730,100,120,50,279048,328,279376
48,139729,101,120,50,158491,197,158688
52,139728,102,120,50,199684,195,199879
56,139728,102,120,50,244210,192,244402
60,139728,102,120,50,262451,183,262634
64,139728,102,120,50,268891,183,269074
68,139728,102,120,50,271132,188,271320
72,139726,104,120,50,271950,178,272128
76,139725,105,120,50,272200,184,272384
80,139722,108,120,50,272330,189,272519
84,139722,108,120,50,272590,184,272774
88,139722,108,120,50,272607,184,272791
92,139720,110,120,50,272399,190,272589
96,139719,111,120,50,268471,185,268656
100,139717,113,120,50,257897,192,258089
104,139715,115,120,50,262299,200,262499
108,139715,115,120,50,269719,195,269914
112,139715,115,120,50,271590,195,271785
116,139715,115,120,50,271625,197,271822
120,139713,117,120,50,271803,196,271999
124,139711,119,120,50,271979,195,272174
128,139711,119,120,50,271950,203,272153
132,139711,119,120,50,272592,198,272790
136,139711,119,120,50,272603,198,272801
140,139711,119,120,50,272005,210,272215
144,139711,119,120,50,269744,197,269941
148,139710,120,120,50,264145,200,264345
152,139709,121,120,50,263273,192,263465
156,139709,121,120,50,270282,188,270470
160,139709,121,120,50,271995,188,272183
164,139708,122,120,50,271358,195,271553
168,139708,122,120,50,271538,194,271732
172,139705,125,120,50,271599,184,271783
176,139704,126,120,50,271579,172,271751
180,139704,126,120,50,272616,167,272783
184,139704,126,120,50,272638,167,272805
188,139703,127,120,50,271650,176,271826
192,139701,129,120,50,270517,181,270698
196,139699,131,120,50,266914,176,267090
200,139698,132,120,50,264519,175,264694
204,139698,132,120,50,270440,173,270613
208,139698,132,120,50,272149,173,272322
212,139696,134,120,50,271184,176,271360
216,139694,136,120,50,271168,183,271351
220,139692,138,120,50,271319,184,271503
224,139690,140,120,50,271331,183,271514
228,139690,140,120,50,272585,178,272763
232,139690,140,120,50,272627,178,272805
236,139689,141,120,50,271408,182,271590
240,139739,60,201,0,270766,191,270957
244,139739,60,201,0,268048,215,268263
248,139738,58,204,0,265818,241,266059
252,139737,58,205,0,270589,242,270831
256,139737,58,205,0,272127,242,272369
260,139735,57,208,0,270912,262,271174
264,139735,52,213,0,270842,272,271114
268,139735,47,218,0,270942,290,271232
272,139732,49,219,0,270960,299,271259
276,139732,49,219,0,272446,294,272740
280,139732,49,219,0,272511,294,272805
284,139731,49,220,0,271105,316,271421
288,139730,49,221,0,270646,319,270965
292,139730,48,222,0,268487,329,268816
296,139729,49,222,0,267061,334,267395
300,139728,50,222,0,270393,324,270717
304,139728,50,222,0,272098,324,272422
308,139728,50,222,0,270816,318,271134
312,139725,51,224,0,270739,340,271079
316,139724,51,225,0,270648,340,270988
320,139723,49,228,0,270692,347,271039
324,139723,49,228,0,272346,342,272688
328,139723,49,228,0,272462,342,272804
