hora,hS,hE,hI,hR,vS,vI,mosq_total
0,139753,78,120,49,291004,208,291212
4,139751,80,120,49,393970,232,394202
8,139750,81,120,49,436154,275,436429
12,139750,81,120,49,453050,282,453332
16,139750,81,120,49,459756,282,460038
20,139748,83,120,49,462658,310,462968
24,139748,83,120,49,463724,348,464072
28,139747,84,120,49,464088,373,464461
32,139746,85,120,49,464210,401,464611
36,139746,85,120,49,464268,410,464678
40,139746,85,120,49,464293,410,464703
44,139745,86,120,49,464285,434,464719
48,139740,91,120,49,264771,300,265071
52,139740,91,120,49,332352,313,332665
56,139737,94,120,49,407827,319,408146
60,139736,95,120,49,438261,311,438572
64,139736,95,120,49,448674,311,448985
68,139732,99,120,49,451854,321,452175
72,139730,101,120,49,453241,311,453552
76,139728,103,120,49,453859,327,454186
80,139727,104,120,49,454164,322,454486
84,139726,105,120,49,454618,327,454945
88,139726,105,120,49,454687,327,455014
92,139725,106,120,49,454318,335,454653
96,139723,108,120,49,447665,329,447994
100,139721,110,120,49,430638,341,430979
104,139718,113,120,49,437182,327,437509
108,139718,113,120,49,450125,315,450440
112,139718,113,120,49,453246,315,453561
116,139715,116,120,49,453181,318,453499
120,139713,118,120,49,453377,316,453693
124,139712,119,120,49,453535,313,453848
128,139709,122,120,49,453636,319,453955
132,139709,122,120,49,454708,294,455002
136,139709,122,120,49,454721,294,455015
140,139707,124,120,49,453741,295,454036
144,139705,126,120,49,450020,311,450331
148,139704,127,120,49,440908,309,441217
152,139702,129,120,49,438698,312,439010
156,139702,129,120,49,450925,310,451235
160,139702,129,120,49,453698,310,454008
164,139701,130,120,49,452663,327,452990
168,139700,131,120,49,452909,333,453242
172,139699,132,120,49,452932,333,453265
176,139696,135,120,49,452980,338,453318
180,139695,136,120,49,454649,340,454989
184,139695,136,120,49,454681,340,455021
188,139691,140,120,49,453093,348,453441
192,139688,143,120,49,451038,354,451392
196,139684,147,120,49,445091,354,445445
200,139682,149,120,49,441160,362,441522
204,139681,150,120,49,451259,350,451609
208,139681,150,120,49,453842,350,454192
212,139680,151,120,49,452319,353,452672
216,139679,152,120,49,452410,342,452752
220,139679,152,120,49,452393,334,452727
224,139678,153,120,49,452554,321,452875
228,139678,153,120,49,454653,306,454959
232,139678,153,120,49,454710,306,455016
236,139676,155,120,49,452716,305,453021
240,139725,77,198,0,451620,323,451943
244,139722,78,200,0,446893,359,447252
248,139720,79,201,0,443754,387,444141
252,139720,79,201,0,451316,380,451696
256,139720,79,201,0,453992,380,454372
260,139719,78,203,0,451937,418,452355
264,139719,78,203,0,451823,443,452266
268,139716,80,204,0,451953,478,452431
272,139714,81,205,0,451884,519,452403
276,139712,83,205,0,454368,524,454892
280,139712,83,205,0,454499,524,455023
284,139711,83,206,0,452162,555,452717
288,139708,81,211,0,451424,572,451996
292,139705,84,211,0,447908,563,448471
296,139701,85,214,0,445667,556,446223
300,139701,84,215,0,451095,543,451638
304,139701,84,215,0,453903,543,454446
308,139700,81,219,0,451710,565,452275
312,139698,81,221,0,451386,570,451956
316,139697,80,223,0,451499,576,452075
320,139696,80,224,0,451434,575,452009
324,139694,81,225,0,454277,556,454833
328,139694,81,225,0,454467,556,455023
332,139694,80,226,0,451893,583,452476
336,139693,79,228,0,451336,589,451925
340,139688,82,230,0,448825,613,449438
344,139684,83,233,0,447098,630,447728
348,139683,84,233,0,450536,614,451150
352,139683,84,233,0,453964,614,454578
356,139680,84,236,0,451477,647,452124
360,139677,85,118,120,451037,641,451678
364,139673,88,119,120,451148,603,451751
368,139667,91,122,120,451370,581,451951
372,139667,91,122,120,454150,558,454708
376,139667,91,122,120,454467,558,455025
380,139664,92,124,120,451647,556,452203
384,139663,91,126,120,451199,528,451727
388,139661,92,127,120,449612,494,450106
392,139659,92,129,120,448188,455,448643
396,139659,92,129,120,450070,418,450488
400,139659,92,129,120,454185,418,454603
404,139656,94,130,120,451724,413,452137
408,139655,94,131,120,451109,397,451506
412,139655,93,132,120,451058,392,451450
416,139653,92,135,120,451176,378,451554
420,139651,93,136,120,454157,375,454532
424,139651,93,136,120,454648,375,455023
428,139649,91,140,120,451992,386,452378
432,139647,90,143,120,451332,386,451718
436,139646,87,147,120,449905,381,450286
440,139646,85,149,120,449026,394,449420
444,139645,85,150,120,450480,388,450868
448,139645,85,150,120,454209,388,454597
452,139642,87,151,120,451781,381,452162
456,139642,86,152,120,450840,390,451230
460,139639,89,152,120,450998,400,451398
464,139636,91,153,120,451005,414,451419
468,139636,91,153,120,453878,407,454285
472,139636,91,153,120,454618,407,455025
476,139635,90,155,120,451900,416,452316
480,139632,93,155,120,451050,405,451455
484,139632,90,158,120,450067,405,450472
488,139627,93,160,120,449536,406,449942
492,139626,94,160,120,450757,402,451159
496,139626,94,160,120,454184,402,454586
500,139625,94,161,120,451715,424,452139
504,139620,99,161,120,450838,423,451261
508,139619,97,164,120,450819,427,451246
512,139616,98,166,120,450914,427,451341
516,139616,96,168,120,453690,415,454105
520,139616,96,168,120,454608,415,455023
524,139614,97,169,120,451852,447,452299
528,139611,97,172,120,450803,453,451256
532,139611,94,175,120,450275,460,450735
536,139610,91,179,120,449795,459,450254
540,139610,91,179,120,451289,441,451730
544,139610,91,179,120,454194,441,454635
548,139609,91,180,120,451692,472,452164
552,139605,93,182,120,450738,470,451208
556,139603,94,183,120,450658,479,451137
560,139603,93,184,120,450647,474,451121
564,139601,93,186,120,453555,465,454020
568,139601,93,186,120,454560,465,455025
572,139597,97,186,120,451883,476,452359
576,139595,98,187,120,450837,491,451328
580,139591,97,192,120,450307,502,450809
584,139587,97,196,120,449911,515,450426
588,139585,98,197,120,451720,500,452220
592,139585,98,197,120,454076,500,454576
596,139584,96,200,120,451663,514,452177
600,139700,97,125,78,450729,534,451263
604,139699,94,127,80,450686,528,451214
608,139697,90,132,81,450576,514,451090
612,139696,91,132,81,453314,499,453813
616,139696,91,132,81,454524,499,455023
620,139694,90,133,83,451861,494,452355
624,139692,92,134,82,450670,464,451134
628,139688,94,135,83,450270,450,450720
632,139687,93,136,84,450088,439,450527
636,139686,94,136,84,452061,424,452485
640,139686,94,136,84,454216,424,454640
